"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"כפר גלעדי 10/2007-07/2025","03-11-2021 15:00","23.3","54"
"מרום גולן פיכמן 01/1998-07/2025","03-11-2021 15:00","19.4","63"
"כפר בלום 07/2005-07/2025","03-11-2021 15:00","27.8","44"
"כפר גלעדי 10/2007-07/2025","03-11-2021 18:00","19.9","73"
"מרום גולן פיכמן 01/1998-07/2025","03-11-2021 18:00","15.4","89"
"כפר בלום 07/2005-07/2025","03-11-2021 18:00","23.2","61"
"כפר גלעדי 10/2007-07/2025","03-11-2021 21:00","18.9","79"
"מרום גולן פיכמן 01/1998-07/2025","03-11-2021 21:00","13","96"
"כפר בלום 07/2005-07/2025","03-11-2021 21:00","20.4","78"
"כפר גלעדי 10/2007-07/2025","04-11-2021 00:00","18.7","74"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 00:00","10.5","94"
"כפר בלום 07/2005-07/2025","04-11-2021 00:00","18.4","83"
"כפר גלעדי 10/2007-07/2025","04-11-2021 03:00","17.2","78"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 03:00","7.4","95"
"כפר בלום 07/2005-07/2025","04-11-2021 03:00","16.1","86"
"כפר גלעדי 10/2007-07/2025","04-11-2021 06:00","16.1","79"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 06:00","5.7","96"
"כפר בלום 07/2005-07/2025","04-11-2021 06:00","14.3","91"
"כפר גלעדי 10/2007-07/2025","04-11-2021 09:00","20.4","63"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 09:00","14.7","89"
"כפר בלום 07/2005-07/2025","04-11-2021 09:00","17.1","82"
"כפר גלעדי 10/2007-07/2025","04-11-2021 12:00","25.3","48"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 12:00","20.9","53"
"כפר בלום 07/2005-07/2025","04-11-2021 12:00","26.8","45"
"כפר גלעדי 10/2007-07/2025","04-11-2021 15:00","26.8","43"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 15:00","23","47"
"כפר בלום 07/2005-07/2025","04-11-2021 15:00","30.4","37"
"כפר גלעדי 10/2007-07/2025","04-11-2021 18:00","21.8","62"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 18:00","17.3","75"
"כפר בלום 07/2005-07/2025","04-11-2021 18:00","24.4","61"
"כפר גלעדי 10/2007-07/2025","04-11-2021 21:00","19.3","75"
"מרום גולן פיכמן 01/1998-07/2025","04-11-2021 21:00","12.8","83"
"כפר בלום 07/2005-07/2025","04-11-2021 21:00","20","75"
"כפר גלעדי 10/2007-07/2025","05-11-2021 00:00","20.7","50"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 00:00","12.9","78"
"כפר בלום 07/2005-07/2025","05-11-2021 00:00","16.5","83"
"כפר גלעדי 10/2007-07/2025","05-11-2021 03:00","20.4","49"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 03:00","9.5","86"
"כפר בלום 07/2005-07/2025","05-11-2021 03:00","13.7","87"
"כפר גלעדי 10/2007-07/2025","05-11-2021 06:00","20.4","47"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 06:00","10.9","78"
"כפר בלום 07/2005-07/2025","05-11-2021 06:00","12.5","91"
"כפר גלעדי 10/2007-07/2025","05-11-2021 09:00","23.4","39"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 09:00","18.2","53"
"כפר בלום 07/2005-07/2025","05-11-2021 09:00","17.4","79"
"כפר גלעדי 10/2007-07/2025","05-11-2021 12:00","28.8","28"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 12:00","22.3","39"
"כפר בלום 07/2005-07/2025","05-11-2021 12:00","28.5","36"
"כפר גלעדי 10/2007-07/2025","05-11-2021 15:00","29.1","28"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 15:00","24","32"
"כפר בלום 07/2005-07/2025","05-11-2021 15:00","32.8","25"
"כפר גלעדי 10/2007-07/2025","05-11-2021 18:00","24.2","35"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 18:00","16.7","59"
"כפר בלום 07/2005-07/2025","05-11-2021 18:00","25.5","39"
"כפר גלעדי 10/2007-07/2025","05-11-2021 21:00","21.3","42"
"מרום גולן פיכמן 01/1998-07/2025","05-11-2021 21:00","11.6","74"
"כפר בלום 07/2005-07/2025","05-11-2021 21:00","19.6","56"
"כפר גלעדי 10/2007-07/2025","06-11-2021 00:00","22.1","38"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 00:00","11.1","72"
"כפר בלום 07/2005-07/2025","06-11-2021 00:00","15.8","69"
"כפר גלעדי 10/2007-07/2025","06-11-2021 03:00","21.6","35"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 03:00","8.3","76"
"כפר בלום 07/2005-07/2025","06-11-2021 03:00","14.4","74"
"כפר גלעדי 10/2007-07/2025","06-11-2021 06:00","20.6","34"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 06:00","9.9","65"
"כפר בלום 07/2005-07/2025","06-11-2021 06:00","11.9","81"
"כפר גלעדי 10/2007-07/2025","06-11-2021 09:00","24","29"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 09:00","18.9","39"
"כפר בלום 07/2005-07/2025","06-11-2021 09:00","17.2","64"
"כפר גלעדי 10/2007-07/2025","06-11-2021 12:00","29.2","21"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 12:00","22.6","30"
"כפר בלום 07/2005-07/2025","06-11-2021 12:00","30.1","24"
"כפר גלעדי 10/2007-07/2025","06-11-2021 15:00","30.2","20"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 15:00","24.1","26"
"כפר בלום 07/2005-07/2025","06-11-2021 15:00","33.1","19"
"כפר גלעדי 10/2007-07/2025","06-11-2021 18:00","24.5","33"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 18:00","16.5","46"
"כפר בלום 07/2005-07/2025","06-11-2021 18:00","25.8","34"
"כפר גלעדי 10/2007-07/2025","06-11-2021 21:00","20.8","40"
"מרום גולן פיכמן 01/1998-07/2025","06-11-2021 21:00","11.3","61"
"כפר בלום 07/2005-07/2025","06-11-2021 21:00","19.3","51"
"כפר גלעדי 10/2007-07/2025","07-11-2021 00:00","22.5","33"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 00:00","9.7","66"
"כפר בלום 07/2005-07/2025","07-11-2021 00:00","15.5","61"
"כפר גלעדי 10/2007-07/2025","07-11-2021 03:00","21.9","34"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 03:00","9.9","62"
"כפר בלום 07/2005-07/2025","07-11-2021 03:00","12.8","72"
"כפר גלעדי 10/2007-07/2025","07-11-2021 06:00","20.6","36"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 06:00","7.4","71"
"כפר בלום 07/2005-07/2025","07-11-2021 06:00","10.7","77"
"כפר גלעדי 10/2007-07/2025","07-11-2021 09:00","23.9","27"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 09:00","18.3","38"
"כפר בלום 07/2005-07/2025","07-11-2021 09:00","17.8","57"
"כפר גלעדי 10/2007-07/2025","07-11-2021 12:00","28.6","22"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 12:00","22","28"
"כפר בלום 07/2005-07/2025","07-11-2021 12:00","30.9","21"
"כפר גלעדי 10/2007-07/2025","07-11-2021 15:00","28.6","26"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 15:00","23.7","22"
"כפר בלום 07/2005-07/2025","07-11-2021 15:00","33.2","16"
"כפר גלעדי 10/2007-07/2025","07-11-2021 18:00","24.2","30"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 18:00","17.3","36"
"כפר בלום 07/2005-07/2025","07-11-2021 18:00","25.6","34"
"כפר גלעדי 10/2007-07/2025","07-11-2021 21:00","22.4","30"
"מרום גולן פיכמן 01/1998-07/2025","07-11-2021 21:00","15.6","38"
"כפר בלום 07/2005-07/2025","07-11-2021 21:00","19.2","48"
"כפר גלעדי 10/2007-07/2025","08-11-2021 00:00","21.1","27"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 00:00","14.3","38"
"כפר בלום 07/2005-07/2025","08-11-2021 00:00","15.8","54"
"כפר גלעדי 10/2007-07/2025","08-11-2021 03:00","21","26"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 03:00","14","38"
"כפר בלום 07/2005-07/2025","08-11-2021 03:00","14.9","53"
"כפר גלעדי 10/2007-07/2025","08-11-2021 06:00","19.6","28"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 06:00","8.5","55"
"כפר בלום 07/2005-07/2025","08-11-2021 06:00","11.5","69"
"כפר גלעדי 10/2007-07/2025","08-11-2021 09:00","24.2","23"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 09:00","17.2","33"
"כפר בלום 07/2005-07/2025","08-11-2021 09:00","16.5","54"
"כפר גלעדי 10/2007-07/2025","08-11-2021 12:00","28.1","19"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 12:00","21.8","26"
"כפר בלום 07/2005-07/2025","08-11-2021 12:00","30.1","20"
"כפר גלעדי 10/2007-07/2025","08-11-2021 15:00","28.7","18"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 15:00","23.1","23"
"כפר בלום 07/2005-07/2025","08-11-2021 15:00","31.5","17"
"כפר גלעדי 10/2007-07/2025","08-11-2021 18:00","23.9","27"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 18:00","14.2","49"
"כפר בלום 07/2005-07/2025","08-11-2021 18:00","24.8","28"
"כפר גלעדי 10/2007-07/2025","08-11-2021 21:00","20.5","33"
"מרום גולן פיכמן 01/1998-07/2025","08-11-2021 21:00","11.1","53"
"כפר בלום 07/2005-07/2025","08-11-2021 21:00","19.5","40"
"כפר גלעדי 10/2007-07/2025","09-11-2021 00:00","21.2","28"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 00:00","14.4","38"
"כפר בלום 07/2005-07/2025","09-11-2021 00:00","19","38"
"כפר גלעדי 10/2007-07/2025","09-11-2021 03:00","19.9","28"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 03:00","10.2","51"
"כפר בלום 07/2005-07/2025","09-11-2021 03:00","16.5","44"
"כפר גלעדי 10/2007-07/2025","09-11-2021 06:00","18.7","31"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 06:00","10.7","47"
"כפר בלום 07/2005-07/2025","09-11-2021 06:00","11.9","62"
"כפר גלעדי 10/2007-07/2025","09-11-2021 09:00","22.8","25"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 09:00","16","29"
"כפר בלום 07/2005-07/2025","09-11-2021 09:00","17.1","48"
"כפר גלעדי 10/2007-07/2025","09-11-2021 12:00","27.5","18"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 12:00","20.8","23"
"כפר בלום 07/2005-07/2025","09-11-2021 12:00","30.1","16"
"כפר גלעדי 10/2007-07/2025","09-11-2021 15:00","28.4","15"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 15:00","22.7","21"
"כפר בלום 07/2005-07/2025","09-11-2021 15:00","31.3","14"
"כפר גלעדי 10/2007-07/2025","09-11-2021 18:00","23.9","19"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 18:00","13.8","41"
"כפר בלום 07/2005-07/2025","09-11-2021 18:00","24.7","26"
"כפר גלעדי 10/2007-07/2025","09-11-2021 21:00","21.8","22"
"מרום גולן פיכמן 01/1998-07/2025","09-11-2021 21:00","11.7","43"
"כפר בלום 07/2005-07/2025","09-11-2021 21:00","18.4","36"
"כפר גלעדי 10/2007-07/2025","10-11-2021 00:00","20.4","25"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 00:00","4.8","69"
"כפר בלום 07/2005-07/2025","10-11-2021 00:00","13.9","53"
"כפר גלעדי 10/2007-07/2025","10-11-2021 03:00","18.8","27"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 03:00","2.5","81"
"כפר בלום 07/2005-07/2025","10-11-2021 03:00","9.9","62"
"כפר גלעדי 10/2007-07/2025","10-11-2021 06:00","17.4","30"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 06:00","0.9","84"
"כפר בלום 07/2005-07/2025","10-11-2021 06:00","8.6","71"
"כפר גלעדי 10/2007-07/2025","10-11-2021 09:00","20.9","27"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 09:00","15.4","36"
"כפר בלום 07/2005-07/2025","10-11-2021 09:00","14.3","55"
"כפר גלעדי 10/2007-07/2025","10-11-2021 12:00","26.2","20"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 12:00","21.2","23"
"כפר בלום 07/2005-07/2025","10-11-2021 12:00","26.9","19"
"כפר גלעדי 10/2007-07/2025","10-11-2021 15:00","23.1","46"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 15:00","19","38"
"כפר בלום 07/2005-07/2025","10-11-2021 15:00","27.5","36"
"כפר גלעדי 10/2007-07/2025","10-11-2021 18:00","18.9","55"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 18:00","14.7","58"
"כפר בלום 07/2005-07/2025","10-11-2021 18:00","21.9","49"
"כפר גלעדי 10/2007-07/2025","10-11-2021 21:00","17.6","51"
"מרום גולן פיכמן 01/1998-07/2025","10-11-2021 21:00","12.3","59"
"כפר בלום 07/2005-07/2025","10-11-2021 21:00","19.9","50"
"כפר גלעדי 10/2007-07/2025","11-11-2021 00:00","16.8","53"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 00:00","7.4","65"
"כפר בלום 07/2005-07/2025","11-11-2021 00:00","18","47"
"כפר גלעדי 10/2007-07/2025","11-11-2021 03:00","16.3","43"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 03:00","2.7","85"
"כפר בלום 07/2005-07/2025","11-11-2021 03:00","13.8","51"
"כפר גלעדי 10/2007-07/2025","11-11-2021 06:00","15","41"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 06:00","3.2","84"
"כפר בלום 07/2005-07/2025","11-11-2021 06:00","9.8","68"
"כפר גלעדי 10/2007-07/2025","11-11-2021 09:00","18.4","34"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 09:00","12.5","55"
"כפר בלום 07/2005-07/2025","11-11-2021 09:00","14.5","54"
"כפר גלעדי 10/2007-07/2025","11-11-2021 12:00","22.9","28"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 12:00","18.4","33"
"כפר בלום 07/2005-07/2025","11-11-2021 12:00","24.2","28"
"כפר גלעדי 10/2007-07/2025","11-11-2021 15:00","22.1","38"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 15:00","18.6","31"
"כפר בלום 07/2005-07/2025","11-11-2021 15:00","26.3","32"
"כפר גלעדי 10/2007-07/2025","11-11-2021 18:00","18.1","61"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 18:00","12.8","61"
"כפר בלום 07/2005-07/2025","11-11-2021 18:00","20.8","52"
"כפר גלעדי 10/2007-07/2025","11-11-2021 21:00","16.1","65"
"מרום גולן פיכמן 01/1998-07/2025","11-11-2021 21:00","4.7","81"
"כפר בלום 07/2005-07/2025","11-11-2021 21:00","16.5","70"
"כפר גלעדי 10/2007-07/2025","12-11-2021 00:00","16.9","34"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 00:00","10.9","40"
"כפר בלום 07/2005-07/2025","12-11-2021 00:00","13.3","69"
"כפר גלעדי 10/2007-07/2025","12-11-2021 03:00","16.3","33"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 03:00","10.2","43"
"כפר בלום 07/2005-07/2025","12-11-2021 03:00","12.9","54"
"כפר גלעדי 10/2007-07/2025","12-11-2021 06:00","16.1","31"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 06:00","9.6","41"
"כפר בלום 07/2005-07/2025","12-11-2021 06:00","10.4","64"
"כפר גלעדי 10/2007-07/2025","12-11-2021 09:00","19.8","25"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 09:00","14.2","31"
"כפר בלום 07/2005-07/2025","12-11-2021 09:00","17.2","45"
"כפר גלעדי 10/2007-07/2025","12-11-2021 12:00","25.1","16"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 12:00","18","23"
"כפר בלום 07/2005-07/2025","12-11-2021 12:00","26.3","17"
"כפר גלעדי 10/2007-07/2025","12-11-2021 15:00","24.8","15"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 15:00","19.7","20"
"כפר בלום 07/2005-07/2025","12-11-2021 15:00","27.5","15"
"כפר גלעדי 10/2007-07/2025","12-11-2021 18:00","21","20"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 18:00","15.1","26"
"כפר בלום 07/2005-07/2025","12-11-2021 18:00","23.7","18"
"כפר גלעדי 10/2007-07/2025","12-11-2021 21:00","20.7","19"
"מרום גולן פיכמן 01/1998-07/2025","12-11-2021 21:00","12.7","30"
"כפר בלום 07/2005-07/2025","12-11-2021 21:00","22.3","18"
"כפר גלעדי 10/2007-07/2025","13-11-2021 00:00","19.7","19"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 00:00","11.8","31"
"כפר בלום 07/2005-07/2025","13-11-2021 00:00","21","20"
"כפר גלעדי 10/2007-07/2025","13-11-2021 03:00","20.5","19"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 03:00","12.5","28"
"כפר בלום 07/2005-07/2025","13-11-2021 03:00","20.9","19"
"כפר גלעדי 10/2007-07/2025","13-11-2021 06:00","21.2","19"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 06:00","11.8","29"
"כפר בלום 07/2005-07/2025","13-11-2021 06:00","21.1","20"
"כפר גלעדי 10/2007-07/2025","13-11-2021 09:00","22.6","21"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 09:00","15.7","27"
"כפר בלום 07/2005-07/2025","13-11-2021 09:00","24","21"
"כפר גלעדי 10/2007-07/2025","13-11-2021 12:00","26","18"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 12:00","19.4","25"
"כפר בלום 07/2005-07/2025","13-11-2021 12:00","27.8","18"
"כפר גלעדי 10/2007-07/2025","13-11-2021 15:00","25.2","18"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 15:00","20.4","23"
"כפר בלום 07/2005-07/2025","13-11-2021 15:00","28.7","16"
"כפר גלעדי 10/2007-07/2025","13-11-2021 18:00","22.9","21"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 18:00","17","27"
"כפר בלום 07/2005-07/2025","13-11-2021 18:00","25","20"
"כפר גלעדי 10/2007-07/2025","13-11-2021 21:00","22.7","21"
"מרום גולן פיכמן 01/1998-07/2025","13-11-2021 21:00","15.5","30"
"כפר בלום 07/2005-07/2025","13-11-2021 21:00","22.3","25"
"כפר גלעדי 10/2007-07/2025","14-11-2021 00:00","22.3","20"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 00:00","14.2","30"
"כפר בלום 07/2005-07/2025","14-11-2021 00:00","22.4","22"
"כפר גלעדי 10/2007-07/2025","14-11-2021 03:00","20.8","22"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 03:00","14.8","26"
"כפר בלום 07/2005-07/2025","14-11-2021 03:00","23.3","20"
"כפר גלעדי 10/2007-07/2025","14-11-2021 06:00","19.9","25"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 06:00","14.1","29"
"כפר בלום 07/2005-07/2025","14-11-2021 06:00","19.9","29"
"כפר גלעדי 10/2007-07/2025","14-11-2021 09:00","20.9","23"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 09:00","15.2","27"
"כפר בלום 07/2005-07/2025","14-11-2021 09:00","20.3","34"
"כפר גלעדי 10/2007-07/2025","14-11-2021 12:00","24.9","18"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 12:00","17.1","25"
"כפר בלום 07/2005-07/2025","14-11-2021 12:00","26.5","19"
"כפר גלעדי 10/2007-07/2025","14-11-2021 15:00","25.9","21"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 15:00","18.7","25"
"כפר בלום 07/2005-07/2025","14-11-2021 15:00","27.9","21"
"כפר גלעדי 10/2007-07/2025","14-11-2021 18:00","23.9","19"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 18:00","16.3","29"
"כפר בלום 07/2005-07/2025","14-11-2021 18:00","26","18"
"כפר גלעדי 10/2007-07/2025","14-11-2021 21:00","22.7","23"
"מרום גולן פיכמן 01/1998-07/2025","14-11-2021 21:00","16.3","28"
"כפר בלום 07/2005-07/2025","14-11-2021 21:00","25.8","19"
"כפר גלעדי 10/2007-07/2025","15-11-2021 00:00","22","22"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 00:00","15.6","30"
"כפר בלום 07/2005-07/2025","15-11-2021 00:00","24.6","20"
"כפר גלעדי 10/2007-07/2025","15-11-2021 03:00","22.4","31"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 03:00","14.6","33"
"כפר בלום 07/2005-07/2025","15-11-2021 03:00","23.2","27"
"כפר גלעדי 10/2007-07/2025","15-11-2021 06:00","20.5","36"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 06:00","13.8","48"
"כפר בלום 07/2005-07/2025","15-11-2021 06:00","20.8","39"
"כפר גלעדי 10/2007-07/2025","15-11-2021 09:00","22.1","37"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 09:00","14.1","50"
"כפר בלום 07/2005-07/2025","15-11-2021 09:00","21.8","47"
"כפר גלעדי 10/2007-07/2025","15-11-2021 12:00","25.5","30"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 12:00","18","45"
"כפר בלום 07/2005-07/2025","15-11-2021 12:00","27.6","29"
"כפר גלעדי 10/2007-07/2025","15-11-2021 15:00","24.8","29"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 15:00","20.2","40"
"כפר בלום 07/2005-07/2025","15-11-2021 15:00","29.3","25"
"כפר גלעדי 10/2007-07/2025","15-11-2021 18:00","21.1","40"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 18:00","15.2","54"
"כפר בלום 07/2005-07/2025","15-11-2021 18:00","23.7","36"
"כפר גלעדי 10/2007-07/2025","15-11-2021 21:00","19.5","39"
"מרום גולן פיכמן 01/1998-07/2025","15-11-2021 21:00","9.4","68"
"כפר בלום 07/2005-07/2025","15-11-2021 21:00","17.5","54"
"כפר גלעדי 10/2007-07/2025","16-11-2021 00:00","18.6","41"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 00:00","8","73"
"כפר בלום 07/2005-07/2025","16-11-2021 00:00","14.6","58"
"כפר גלעדי 10/2007-07/2025","16-11-2021 03:00","16.8","45"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 03:00","3.6","80"
"כפר בלום 07/2005-07/2025","16-11-2021 03:00","12.6","69"
"כפר גלעדי 10/2007-07/2025","16-11-2021 06:00","16.4","46"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 06:00","6.1","82"
"כפר בלום 07/2005-07/2025","16-11-2021 06:00","10.6","75"
"כפר גלעדי 10/2007-07/2025","16-11-2021 09:00","18.1","44"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 09:00","17.1","38"
"כפר בלום 07/2005-07/2025","16-11-2021 09:00","14.1","64"
"כפר גלעדי 10/2007-07/2025","16-11-2021 12:00","23","33"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 12:00","19.6","31"
"כפר בלום 07/2005-07/2025","16-11-2021 12:00","24.2","33"
"כפר גלעדי 10/2007-07/2025","16-11-2021 15:00","24","36"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 15:00","19.3","38"
"כפר בלום 07/2005-07/2025","16-11-2021 15:00","27.8","29"
"כפר גלעדי 10/2007-07/2025","16-11-2021 18:00","20.6","41"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 18:00","14.6","55"
"כפר בלום 07/2005-07/2025","16-11-2021 18:00","22.4","40"
"כפר גלעדי 10/2007-07/2025","16-11-2021 21:00","18.5","46"
"מרום גולן פיכמן 01/1998-07/2025","16-11-2021 21:00","8.5","68"
"כפר בלום 07/2005-07/2025","16-11-2021 21:00","17.6","58"
"כפר גלעדי 10/2007-07/2025","17-11-2021 00:00","19.7","35"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 00:00","12","51"
"כפר בלום 07/2005-07/2025","17-11-2021 00:00","15.5","62"
"כפר גלעדי 10/2007-07/2025","17-11-2021 03:00","18.1","40"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 03:00","13.5","38"
"כפר בלום 07/2005-07/2025","17-11-2021 03:00","14.7","65"
"כפר גלעדי 10/2007-07/2025","17-11-2021 06:00","19.8","28"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 06:00","13.4","39"
"כפר בלום 07/2005-07/2025","17-11-2021 06:00","13.5","69"
"כפר גלעדי 10/2007-07/2025","17-11-2021 09:00","21.3","28"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 09:00","15.2","36"
"כפר בלום 07/2005-07/2025","17-11-2021 09:00","15.6","62"
"כפר גלעדי 10/2007-07/2025","17-11-2021 12:00","26.2","22"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 12:00","19.9","31"
"כפר בלום 07/2005-07/2025","17-11-2021 12:00","26.7","27"
"כפר גלעדי 10/2007-07/2025","17-11-2021 15:00","27","23"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 15:00","21.4","30"
"כפר בלום 07/2005-07/2025","17-11-2021 15:00","29.9","21"
"כפר גלעדי 10/2007-07/2025","17-11-2021 18:00","21.9","34"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 18:00","14.7","47"
"כפר בלום 07/2005-07/2025","17-11-2021 18:00","23.6","38"
"כפר גלעדי 10/2007-07/2025","17-11-2021 21:00","20.4","32"
"מרום גולן פיכמן 01/1998-07/2025","17-11-2021 21:00","12","51"
"כפר בלום 07/2005-07/2025","17-11-2021 21:00","17.8","53"
"כפר גלעדי 10/2007-07/2025","18-11-2021 00:00","18.9","39"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 00:00","13","47"
"כפר בלום 07/2005-07/2025","18-11-2021 00:00","14.6","63"
"כפר גלעדי 10/2007-07/2025","18-11-2021 03:00","17.8","38"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 03:00","9.9","53"
"כפר בלום 07/2005-07/2025","18-11-2021 03:00","12.3","69"
"כפר גלעדי 10/2007-07/2025","18-11-2021 06:00","16.5","44"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 06:00","11.7","46"
"כפר בלום 07/2005-07/2025","18-11-2021 06:00","11.1","72"
"כפר גלעדי 10/2007-07/2025","18-11-2021 09:00","19","39"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 09:00","16","37"
"כפר בלום 07/2005-07/2025","18-11-2021 09:00","14","63"
"כפר גלעדי 10/2007-07/2025","18-11-2021 12:00","22.7","32"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 12:00","19.2","36"
"כפר בלום 07/2005-07/2025","18-11-2021 12:00","24.5","35"
"כפר גלעדי 10/2007-07/2025","18-11-2021 15:00","23.1","54"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 15:00","19.3","39"
"כפר בלום 07/2005-07/2025","18-11-2021 15:00","27.6","30"
"כפר גלעדי 10/2007-07/2025","18-11-2021 18:00","19.3","68"
"מרום גולן פיכמן 01/1998-07/2025","18-11-2021 18:00","14.4","84"
