"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"שדה בוקר 01/2004-07/2025","28-09-2021 03:00","19.2","88"
"עבדת 10/2008-07/2025","28-09-2021 03:00","18","91"
"אשלים 02/2016-07/2025","28-09-2021 06:00","19.9","84"
"שדה בוקר 01/2004-07/2025","28-09-2021 06:00","18.7","89"
"עבדת 10/2008-07/2025","28-09-2021 06:00","17.7","92"
"אשלים 02/2016-07/2025","28-09-2021 09:00","22.6","74"
"שדה בוקר 01/2004-07/2025","28-09-2021 09:00","21.1","78"
"עבדת 10/2008-07/2025","28-09-2021 09:00","20.3","78"
"אשלים 02/2016-07/2025","28-09-2021 12:00","26.3","52"
"שדה בוקר 01/2004-07/2025","28-09-2021 12:00","24.7","55"
"עבדת 10/2008-07/2025","28-09-2021 12:00","23.4","57"
"אשלים 02/2016-07/2025","28-09-2021 15:00","28.1","46"
"שדה בוקר 01/2004-07/2025","28-09-2021 15:00","27","46"
"עבדת 10/2008-07/2025","28-09-2021 15:00","26.1","46"
"אשלים 02/2016-07/2025","28-09-2021 18:00","25.7","55"
"שדה בוקר 01/2004-07/2025","28-09-2021 18:00","24.6","57"
"עבדת 10/2008-07/2025","28-09-2021 18:00","23.9","58"
"אשלים 02/2016-07/2025","28-09-2021 21:00","22","75"
"שדה בוקר 01/2004-07/2025","28-09-2021 21:00","21.3","77"
"עבדת 10/2008-07/2025","28-09-2021 21:00","20.4","79"
"אשלים 02/2016-07/2025","29-09-2021 00:00","19.4","84"
"שדה בוקר 01/2004-07/2025","29-09-2021 00:00","19.7","86"
"עבדת 10/2008-07/2025","29-09-2021 00:00","18.7","89"
"אשלים 02/2016-07/2025","29-09-2021 03:00","18","90"
"שדה בוקר 01/2004-07/2025","29-09-2021 03:00","17.2","90"
"עבדת 10/2008-07/2025","29-09-2021 03:00","18.3","91"
"אשלים 02/2016-07/2025","29-09-2021 06:00","18.3","88"
"שדה בוקר 01/2004-07/2025","29-09-2021 06:00","17.5","91"
"עבדת 10/2008-07/2025","29-09-2021 06:00","17.2","93"
"אשלים 02/2016-07/2025","29-09-2021 09:00","22.7","75"
"שדה בוקר 01/2004-07/2025","29-09-2021 09:00","21.3","76"
"עבדת 10/2008-07/2025","29-09-2021 09:00","20.5","78"
"אשלים 02/2016-07/2025","29-09-2021 12:00","26.4","53"
"שדה בוקר 01/2004-07/2025","29-09-2021 12:00","25.2","55"
"עבדת 10/2008-07/2025","29-09-2021 12:00","24.9","51"
"אשלים 02/2016-07/2025","29-09-2021 15:00","29.4","40"
"שדה בוקר 01/2004-07/2025","29-09-2021 15:00","28","42"
"עבדת 10/2008-07/2025","29-09-2021 15:00","27.1","41"
"אשלים 02/2016-07/2025","29-09-2021 18:00","25.9","62"
"שדה בוקר 01/2004-07/2025","29-09-2021 18:00","25.3","61"
"עבדת 10/2008-07/2025","29-09-2021 18:00","24.6","62"
"אשלים 02/2016-07/2025","29-09-2021 21:00","22.2","77"
"שדה בוקר 01/2004-07/2025","29-09-2021 21:00","21.5","79"
"עבדת 10/2008-07/2025","29-09-2021 21:00","20.7","80"
"אשלים 02/2016-07/2025","30-09-2021 00:00","18.1","88"
"שדה בוקר 01/2004-07/2025","30-09-2021 00:00","18.9","88"
"עבדת 10/2008-07/2025","30-09-2021 00:00","17.4","91"
"אשלים 02/2016-07/2025","30-09-2021 03:00","16.9","90"
"שדה בוקר 01/2004-07/2025","30-09-2021 03:00","17.4","91"
"עבדת 10/2008-07/2025","30-09-2021 03:00","17.7","94"
"אשלים 02/2016-07/2025","30-09-2021 06:00","17.6","91"
"שדה בוקר 01/2004-07/2025","30-09-2021 06:00","15.4","94"
"עבדת 10/2008-07/2025","30-09-2021 06:00","15.8","98"
"אשלים 02/2016-07/2025","30-09-2021 09:00","22.3","74"
"שדה בוקר 01/2004-07/2025","30-09-2021 09:00","20.7","82"
"עבדת 10/2008-07/2025","30-09-2021 09:00","18.5","92"
"אשלים 02/2016-07/2025","30-09-2021 12:00","27.1","48"
"שדה בוקר 01/2004-07/2025","30-09-2021 12:00","25.5","50"
"עבדת 10/2008-07/2025","30-09-2021 12:00","25.4","52"
"אשלים 02/2016-07/2025","30-09-2021 15:00","29.9","35"
"שדה בוקר 01/2004-07/2025","30-09-2021 15:00","28.8","35"
"עבדת 10/2008-07/2025","30-09-2021 15:00","28.2","27"
"אשלים 02/2016-07/2025","30-09-2021 18:00","26.3","62"
"שדה בוקר 01/2004-07/2025","30-09-2021 18:00","25.7","62"
"עבדת 10/2008-07/2025","30-09-2021 18:00","25.3","62"
"אשלים 02/2016-07/2025","30-09-2021 21:00","22.3","77"
"שדה בוקר 01/2004-07/2025","30-09-2021 21:00","21.6","78"
"עבדת 10/2008-07/2025","30-09-2021 21:00","20.7","81"
"אשלים 02/2016-07/2025","01-10-2021 00:00","19.1","87"
"שדה בוקר 01/2004-07/2025","01-10-2021 00:00","19.5","90"
"עבדת 10/2008-07/2025","01-10-2021 00:00","18.4","92"
"אשלים 02/2016-07/2025","01-10-2021 03:00","17.1","91"
"שדה בוקר 01/2004-07/2025","01-10-2021 03:00","20","92"
"עבדת 10/2008-07/2025","01-10-2021 03:00","18.8","92"
"אשלים 02/2016-07/2025","01-10-2021 06:00","17.6","92"
"שדה בוקר 01/2004-07/2025","01-10-2021 06:00","19.1","93"
"עבדת 10/2008-07/2025","01-10-2021 06:00","18.4","93"
"אשלים 02/2016-07/2025","01-10-2021 09:00","22.9","79"
"שדה בוקר 01/2004-07/2025","01-10-2021 09:00","21.4","79"
"עבדת 10/2008-07/2025","01-10-2021 09:00","20","84"
"אשלים 02/2016-07/2025","01-10-2021 12:00","26.9","55"
"שדה בוקר 01/2004-07/2025","01-10-2021 12:00","25.4","56"
"עבדת 10/2008-07/2025","01-10-2021 12:00","24.5","57"
"אשלים 02/2016-07/2025","01-10-2021 15:00","30","46"
"שדה בוקר 01/2004-07/2025","01-10-2021 15:00","29.1","39"
"עבדת 10/2008-07/2025","01-10-2021 15:00","28.4","40"
"אשלים 02/2016-07/2025","01-10-2021 18:00","25.5","68"
"שדה בוקר 01/2004-07/2025","01-10-2021 18:00","24.8","69"
"עבדת 10/2008-07/2025","01-10-2021 18:00","24.2","69"
"אשלים 02/2016-07/2025","01-10-2021 21:00","23.2","78"
"שדה בוקר 01/2004-07/2025","01-10-2021 21:00","22","81"
"עבדת 10/2008-07/2025","01-10-2021 21:00","21.5","83"
"אשלים 02/2016-07/2025","02-10-2021 00:00","23","79"
"שדה בוקר 01/2004-07/2025","02-10-2021 00:00","21.8","84"
"עבדת 10/2008-07/2025","02-10-2021 00:00","21","86"
"אשלים 02/2016-07/2025","02-10-2021 03:00","21.3","85"
"שדה בוקר 01/2004-07/2025","02-10-2021 03:00","20.7","88"
"עבדת 10/2008-07/2025","02-10-2021 03:00","20.1","89"
"אשלים 02/2016-07/2025","02-10-2021 06:00","20.4","86"
"שדה בוקר 01/2004-07/2025","02-10-2021 06:00","20","89"
"עבדת 10/2008-07/2025","02-10-2021 06:00","19.1","92"
"אשלים 02/2016-07/2025","02-10-2021 09:00","22.2","78"
"שדה בוקר 01/2004-07/2025","02-10-2021 09:00","21.7","81"
"עבדת 10/2008-07/2025","02-10-2021 09:00","20.7","83"
"אשלים 02/2016-07/2025","02-10-2021 12:00","25.5","58"
"שדה בוקר 01/2004-07/2025","02-10-2021 12:00","24","64"
"עבדת 10/2008-07/2025","02-10-2021 12:00","23","65"
"אשלים 02/2016-07/2025","02-10-2021 15:00","28.3","49"
"שדה בוקר 01/2004-07/2025","02-10-2021 15:00","26.9","50"
"עבדת 10/2008-07/2025","02-10-2021 15:00","26.3","51"
"אשלים 02/2016-07/2025","02-10-2021 18:00","25.5","62"
"שדה בוקר 01/2004-07/2025","02-10-2021 18:00","24.7","63"
"עבדת 10/2008-07/2025","02-10-2021 18:00","24.3","62"
"אשלים 02/2016-07/2025","02-10-2021 21:00","22","76"
"שדה בוקר 01/2004-07/2025","02-10-2021 21:00","21.2","78"
"עבדת 10/2008-07/2025","02-10-2021 21:00","20.4","80"
"אשלים 02/2016-07/2025","03-10-2021 00:00","18.4","84"
"שדה בוקר 01/2004-07/2025","03-10-2021 00:00","19.6","83"
"עבדת 10/2008-07/2025","03-10-2021 00:00","18.7","85"
"אשלים 02/2016-07/2025","03-10-2021 03:00","17.3","86"
"שדה בוקר 01/2004-07/2025","03-10-2021 03:00","18.6","88"
"עבדת 10/2008-07/2025","03-10-2021 03:00","17.5","90"
"אשלים 02/2016-07/2025","03-10-2021 06:00","15.9","93"
"שדה בוקר 01/2004-07/2025","03-10-2021 06:00","14.9","93"
"עבדת 10/2008-07/2025","03-10-2021 06:00","16.2","93"
"אשלים 02/2016-07/2025","03-10-2021 09:00","21.8","77"
"שדה בוקר 01/2004-07/2025","03-10-2021 09:00","20.6","81"
"עבדת 10/2008-07/2025","03-10-2021 09:00","19.7","82"
"אשלים 02/2016-07/2025","03-10-2021 12:00","26.1","56"
"שדה בוקר 01/2004-07/2025","03-10-2021 12:00","24.4","59"
"עבדת 10/2008-07/2025","03-10-2021 12:00","24.1","58"
"אשלים 02/2016-07/2025","03-10-2021 15:00","28.8","46"
"שדה בוקר 01/2004-07/2025","03-10-2021 15:00","26.7","49"
"עבדת 10/2008-07/2025","03-10-2021 15:00","26.1","50"
"אשלים 02/2016-07/2025","03-10-2021 18:00","25.6","62"
"שדה בוקר 01/2004-07/2025","03-10-2021 18:00","24.6","61"
"עבדת 10/2008-07/2025","03-10-2021 18:00","24.1","61"
"אשלים 02/2016-07/2025","03-10-2021 21:00","22.4","75"
"שדה בוקר 01/2004-07/2025","03-10-2021 21:00","21.4","78"
"עבדת 10/2008-07/2025","03-10-2021 21:00","20.7","81"
"אשלים 02/2016-07/2025","04-10-2021 00:00","19.1","83"
"שדה בוקר 01/2004-07/2025","04-10-2021 00:00","19.6","84"
"עבדת 10/2008-07/2025","04-10-2021 00:00","18.8","86"
"אשלים 02/2016-07/2025","04-10-2021 03:00","17.1","88"
"שדה בוקר 01/2004-07/2025","04-10-2021 03:00","17.8","91"
"עבדת 10/2008-07/2025","04-10-2021 03:00","17.9","92"
"אשלים 02/2016-07/2025","04-10-2021 06:00","16.1","90"
"שדה בוקר 01/2004-07/2025","04-10-2021 06:00","16.5","93"
"עבדת 10/2008-07/2025","04-10-2021 06:00","17.3","94"
"אשלים 02/2016-07/2025","04-10-2021 09:00","22.8","74"
"שדה בוקר 01/2004-07/2025","04-10-2021 09:00","20.7","82"
"עבדת 10/2008-07/2025","04-10-2021 09:00","20","83"
"אשלים 02/2016-07/2025","04-10-2021 12:00","26.6","42"
"שדה בוקר 01/2004-07/2025","04-10-2021 12:00","24.7","49"
"עבדת 10/2008-07/2025","04-10-2021 12:00","24.2","50"
"אשלים 02/2016-07/2025","04-10-2021 15:00","28.8","39"
"שדה בוקר 01/2004-07/2025","04-10-2021 15:00","27.6","38"
"עבדת 10/2008-07/2025","04-10-2021 15:00","26.7","39"
"אשלים 02/2016-07/2025","04-10-2021 18:00","25.1","57"
"שדה בוקר 01/2004-07/2025","04-10-2021 18:00","24.3","59"
"עבדת 10/2008-07/2025","04-10-2021 18:00","23.7","60"
"אשלים 02/2016-07/2025","04-10-2021 21:00","21.6","66"
"שדה בוקר 01/2004-07/2025","04-10-2021 21:00","20.9","69"
"עבדת 10/2008-07/2025","04-10-2021 21:00","20","71"
"אשלים 02/2016-07/2025","05-10-2021 00:00","18.3","78"
"שדה בוקר 01/2004-07/2025","05-10-2021 00:00","19.7","78"
"עבדת 10/2008-07/2025","05-10-2021 00:00","18.6","81"
"אשלים 02/2016-07/2025","05-10-2021 03:00","17.4","82"
"שדה בוקר 01/2004-07/2025","05-10-2021 03:00","17.9","86"
"עבדת 10/2008-07/2025","05-10-2021 03:00","17.1","88"
"אשלים 02/2016-07/2025","05-10-2021 06:00","15.8","88"
"שדה בוקר 01/2004-07/2025","05-10-2021 06:00","15.6","91"
"עבדת 10/2008-07/2025","05-10-2021 06:00","15.8","93"
"אשלים 02/2016-07/2025","05-10-2021 09:00","22.4","72"
"שדה בוקר 01/2004-07/2025","05-10-2021 09:00","21.3","74"
"עבדת 10/2008-07/2025","05-10-2021 09:00","19.7","82"
"אשלים 02/2016-07/2025","05-10-2021 12:00","26.3","51"
"שדה בוקר 01/2004-07/2025","05-10-2021 12:00","24.8","50"
"עבדת 10/2008-07/2025","05-10-2021 12:00","23.9","52"
"אשלים 02/2016-07/2025","05-10-2021 15:00","27.8","47"
"שדה בוקר 01/2004-07/2025","05-10-2021 15:00","27.3","45"
"עבדת 10/2008-07/2025","05-10-2021 15:00","26.4","45"
"אשלים 02/2016-07/2025","05-10-2021 18:00","24.5","62"
"שדה בוקר 01/2004-07/2025","05-10-2021 18:00","23.9","62"
"עבדת 10/2008-07/2025","05-10-2021 18:00","23.1","63"
"אשלים 02/2016-07/2025","05-10-2021 21:00","21.8","73"
"שדה בוקר 01/2004-07/2025","05-10-2021 21:00","20.6","78"
"עבדת 10/2008-07/2025","05-10-2021 21:00","19.9","80"
"אשלים 02/2016-07/2025","06-10-2021 00:00","19","78"
"שדה בוקר 01/2004-07/2025","06-10-2021 00:00","19.5","80"
"עבדת 10/2008-07/2025","06-10-2021 00:00","19.1","81"
"אשלים 02/2016-07/2025","06-10-2021 03:00","15.9","86"
"שדה בוקר 01/2004-07/2025","06-10-2021 03:00","16.9","87"
"עבדת 10/2008-07/2025","06-10-2021 03:00","17.4","88"
"אשלים 02/2016-07/2025","06-10-2021 06:00","19","80"
"שדה בוקר 01/2004-07/2025","06-10-2021 06:00","15.2","89"
"עבדת 10/2008-07/2025","06-10-2021 06:00","16.4","89"
"אשלים 02/2016-07/2025","06-10-2021 09:00","22.1","68"
"שדה בוקר 01/2004-07/2025","06-10-2021 09:00","20.7","62"
"עבדת 10/2008-07/2025","06-10-2021 09:00","19.5","73"
"אשלים 02/2016-07/2025","06-10-2021 12:00","25.7","47"
"שדה בוקר 01/2004-07/2025","06-10-2021 12:00","24","51"
"עבדת 10/2008-07/2025","06-10-2021 12:00","23.2","52"
"אשלים 02/2016-07/2025","06-10-2021 15:00","28.3","38"
"שדה בוקר 01/2004-07/2025","06-10-2021 15:00","26.7","37"
"עבדת 10/2008-07/2025","06-10-2021 15:00","26","40"
"אשלים 02/2016-07/2025","06-10-2021 18:00","25.3","51"
"שדה בוקר 01/2004-07/2025","06-10-2021 18:00","24.5","51"
"עבדת 10/2008-07/2025","06-10-2021 18:00","24.2","50"
"אשלים 02/2016-07/2025","06-10-2021 21:00","21.2","68"
"שדה בוקר 01/2004-07/2025","06-10-2021 21:00","20.3","71"
"עבדת 10/2008-07/2025","06-10-2021 21:00","19.5","74"
"אשלים 02/2016-07/2025","07-10-2021 00:00","17.6","78"
"שדה בוקר 01/2004-07/2025","07-10-2021 00:00","19.2","70"
"עבדת 10/2008-07/2025","07-10-2021 00:00","17.9","75"
"אשלים 02/2016-07/2025","07-10-2021 03:00","15.1","82"
"שדה בוקר 01/2004-07/2025","07-10-2021 03:00","17.1","76"
"עבדת 10/2008-07/2025","07-10-2021 03:00","17.4","76"
"אשלים 02/2016-07/2025","07-10-2021 06:00","13.4","85"
"שדה בוקר 01/2004-07/2025","07-10-2021 06:00","14.6","81"
"עבדת 10/2008-07/2025","07-10-2021 06:00","15","81"
"אשלים 02/2016-07/2025","07-10-2021 09:00","21.9","54"
"שדה בוקר 01/2004-07/2025","07-10-2021 09:00","20.4","59"
"עבדת 10/2008-07/2025","07-10-2021 09:00","20.1","59"
"אשלים 02/2016-07/2025","07-10-2021 12:00","26.9","37"
"שדה בוקר 01/2004-07/2025","07-10-2021 12:00","26.5","37"
"עבדת 10/2008-07/2025","07-10-2021 12:00","25.4","41"
"אשלים 02/2016-07/2025","07-10-2021 15:00","30.4","27"
"שדה בוקר 01/2004-07/2025","07-10-2021 15:00","29.2","29"
"עבדת 10/2008-07/2025","07-10-2021 15:00","28.8","30"
"אשלים 02/2016-07/2025","07-10-2021 18:00","26.2","53"
"שדה בוקר 01/2004-07/2025","07-10-2021 18:00","25.6","48"
"עבדת 10/2008-07/2025","07-10-2021 18:00","25","42"
"אשלים 02/2016-07/2025","07-10-2021 21:00","22.1","72"
"שדה בוקר 01/2004-07/2025","07-10-2021 21:00","21.6","73"
"עבדת 10/2008-07/2025","07-10-2021 21:00","20.8","75"
"אשלים 02/2016-07/2025","08-10-2021 00:00","19.5","85"
"שדה בוקר 01/2004-07/2025","08-10-2021 00:00","20","84"
"עבדת 10/2008-07/2025","08-10-2021 00:00","18.9","87"
"אשלים 02/2016-07/2025","08-10-2021 03:00","18.4","88"
"שדה בוקר 01/2004-07/2025","08-10-2021 03:00","18.6","88"
"עבדת 10/2008-07/2025","08-10-2021 03:00","18.3","89"
"אשלים 02/2016-07/2025","08-10-2021 06:00","17.1","92"
"שדה בוקר 01/2004-07/2025","08-10-2021 06:00","18.2","90"
"עבדת 10/2008-07/2025","08-10-2021 06:00","16.6","94"
"אשלים 02/2016-07/2025","08-10-2021 09:00","21.8","79"
"שדה בוקר 01/2004-07/2025","08-10-2021 09:00","21.1","82"
"עבדת 10/2008-07/2025","08-10-2021 09:00","20","85"
"אשלים 02/2016-07/2025","08-10-2021 12:00","27.1","53"
"שדה בוקר 01/2004-07/2025","08-10-2021 12:00","25.2","58"
"עבדת 10/2008-07/2025","08-10-2021 12:00","24.7","57"
"אשלים 02/2016-07/2025","08-10-2021 15:00","29.1","47"
"שדה בוקר 01/2004-07/2025","08-10-2021 15:00","28.5","44"
"עבדת 10/2008-07/2025","08-10-2021 15:00","27.4","46"
"אשלים 02/2016-07/2025","08-10-2021 18:00","25.7","66"
"שדה בוקר 01/2004-07/2025","08-10-2021 18:00","25.1","64"
"עבדת 10/2008-07/2025","08-10-2021 18:00","24.3","65"
"אשלים 02/2016-07/2025","08-10-2021 21:00","22.6","82"
"שדה בוקר 01/2004-07/2025","08-10-2021 21:00","21.8","85"
"עבדת 10/2008-07/2025","08-10-2021 21:00","20.8","87"
"אשלים 02/2016-07/2025","09-10-2021 00:00","21","86"
"שדה בוקר 01/2004-07/2025","09-10-2021 00:00","20.8","89"
"עבדת 10/2008-07/2025","09-10-2021 00:00","20.2","90"
"אשלים 02/2016-07/2025","09-10-2021 03:00","19.6","89"
"שדה בוקר 01/2004-07/2025","09-10-2021 03:00","19.8","90"
"עבדת 10/2008-07/2025","09-10-2021 03:00","18.7","93"
"אשלים 02/2016-07/2025","09-10-2021 06:00","18.5","92"
"שדה בוקר 01/2004-07/2025","09-10-2021 06:00","19.2","94"
"עבדת 10/2008-07/2025","09-10-2021 06:00","18.6","95"
"אשלים 02/2016-07/2025","09-10-2021 09:00","22.9","80"
"שדה בוקר 01/2004-07/2025","09-10-2021 09:00","21.6","81"
"עבדת 10/2008-07/2025","09-10-2021 09:00","20.3","85"
"אשלים 02/2016-07/2025","09-10-2021 12:00","27.1","53"
"שדה בוקר 01/2004-07/2025","09-10-2021 12:00","25.2","57"
"עבדת 10/2008-07/2025","09-10-2021 12:00","24.8","56"
"אשלים 02/2016-07/2025","09-10-2021 15:00","30","44"
"שדה בוקר 01/2004-07/2025","09-10-2021 15:00","28.6","46"
"עבדת 10/2008-07/2025","09-10-2021 15:00","27.8","45"
"אשלים 02/2016-07/2025","09-10-2021 18:00","25.7","66"
"שדה בוקר 01/2004-07/2025","09-10-2021 18:00","25","67"
"עבדת 10/2008-07/2025","09-10-2021 18:00","24.1","71"
"אשלים 02/2016-07/2025","09-10-2021 21:00","23.5","77"
"שדה בוקר 01/2004-07/2025","09-10-2021 21:00","22.2","82"
"עבדת 10/2008-07/2025","09-10-2021 21:00","21.1","82"
"אשלים 02/2016-07/2025","10-10-2021 00:00","22","87"
"שדה בוקר 01/2004-07/2025","10-10-2021 00:00","21.3","89"
"עבדת 10/2008-07/2025","10-10-2021 00:00","20.5","90"
"אשלים 02/2016-07/2025","10-10-2021 03:00","18.7","92"
"שדה בוקר 01/2004-07/2025","10-10-2021 03:00","20.1","91"
"עבדת 10/2008-07/2025","10-10-2021 03:00","19.3","90"
"אשלים 02/2016-07/2025","10-10-2021 06:00","15.8","94"
"שדה בוקר 01/2004-07/2025","10-10-2021 06:00","18","93"
"עבדת 10/2008-07/2025","10-10-2021 06:00","17.3","95"
"אשלים 02/2016-07/2025","10-10-2021 09:00","22.4","72"
"שדה בוקר 01/2004-07/2025","10-10-2021 09:00","21","75"
"עבדת 10/2008-07/2025","10-10-2021 09:00","19.8","80"
"אשלים 02/2016-07/2025","10-10-2021 12:00","27.6","43"
"שדה בוקר 01/2004-07/2025","10-10-2021 12:00","26.1","46"
"עבדת 10/2008-07/2025","10-10-2021 12:00","25.3","49"
"אשלים 02/2016-07/2025","10-10-2021 15:00","30.7","38"
"שדה בוקר 01/2004-07/2025","10-10-2021 15:00","29.5","37"
"עבדת 10/2008-07/2025","10-10-2021 15:00","28.9","36"
"אשלים 02/2016-07/2025","10-10-2021 18:00","26.1","56"
"שדה בוקר 01/2004-07/2025","10-10-2021 18:00","25.6","61"
"עבדת 10/2008-07/2025","10-10-2021 18:00","24.8","62"
"אשלים 02/2016-07/2025","10-10-2021 21:00","22.1","74"
"שדה בוקר 01/2004-07/2025","10-10-2021 21:00","21.5","75"
"עבדת 10/2008-07/2025","10-10-2021 21:00","20.7","74"
"אשלים 02/2016-07/2025","11-10-2021 00:00","19","82"
"שדה בוקר 01/2004-07/2025","11-10-2021 00:00","19.6","85"
"עבדת 10/2008-07/2025","11-10-2021 00:00","18.5","85"
"אשלים 02/2016-07/2025","11-10-2021 03:00","16.8","91"
"שדה בוקר 01/2004-07/2025","11-10-2021 03:00","16.9","90"
"עבדת 10/2008-07/2025","11-10-2021 03:00","17.2","90"
"אשלים 02/2016-07/2025","11-10-2021 06:00","15.2","91"
"שדה בוקר 01/2004-07/2025","11-10-2021 06:00","15.7","92"
"עבדת 10/2008-07/2025","11-10-2021 06:00","16","91"
"אשלים 02/2016-07/2025","11-10-2021 09:00","22","73"
"שדה בוקר 01/2004-07/2025","11-10-2021 09:00","20.8","76"
"עבדת 10/2008-07/2025","11-10-2021 09:00","19.9","77"
"אשלים 02/2016-07/2025","11-10-2021 12:00","27","47"
"שדה בוקר 01/2004-07/2025","11-10-2021 12:00","26.2","46"
"עבדת 10/2008-07/2025","11-10-2021 12:00","26.1","48"
"אשלים 02/2016-07/2025","11-10-2021 15:00","30.9","29"
"שדה בוקר 01/2004-07/2025","11-10-2021 15:00","29.4","31"
"עבדת 10/2008-07/2025","11-10-2021 15:00","29","34"
"אשלים 02/2016-07/2025","11-10-2021 18:00","28.8","41"
"שדה בוקר 01/2004-07/2025","11-10-2021 18:00","28.7","28"
"עבדת 10/2008-07/2025","11-10-2021 18:00","28.1","30"
"אשלים 02/2016-07/2025","11-10-2021 21:00","23.3","63"
"שדה בוקר 01/2004-07/2025","11-10-2021 21:00","23.7","59"
"עבדת 10/2008-07/2025","11-10-2021 21:00","23.1","58"
"אשלים 02/2016-07/2025","12-10-2021 00:00","22.2","71"
"שדה בוקר 01/2004-07/2025","12-10-2021 00:00","22.6","66"
"עבדת 10/2008-07/2025","12-10-2021 00:00","22.5","60"
"אשלים 02/2016-07/2025","12-10-2021 03:00","21.3","77"
"שדה בוקר 01/2004-07/2025","12-10-2021 03:00","21.8","72"
"עבדת 10/2008-07/2025","12-10-2021 03:00","20.9","74"
"אשלים 02/2016-07/2025","12-10-2021 06:00","20.7","80"
"שדה בוקר 01/2004-07/2025","12-10-2021 06:00","20.3","79"
"עבדת 10/2008-07/2025","12-10-2021 06:00","19.8","79"
"אשלים 02/2016-07/2025","12-10-2021 09:00","28","39"
"שדה בוקר 01/2004-07/2025","12-10-2021 09:00","24.1","55"
"עבדת 10/2008-07/2025","12-10-2021 09:00","25.8","44"
"אשלים 02/2016-07/2025","12-10-2021 12:00","33.2","24"
"שדה בוקר 01/2004-07/2025","12-10-2021 12:00","29.1","36"
"עבדת 10/2008-07/2025","12-10-2021 12:00","29.4","31"
"אשלים 02/2016-07/2025","12-10-2021 15:00","34.2","22"
"שדה בוקר 01/2004-07/2025","12-10-2021 15:00","32.6","23"
"עבדת 10/2008-07/2025","12-10-2021 15:00","31.1","25"
"אשלים 02/2016-07/2025","12-10-2021 18:00","28.8","46"
"שדה בוקר 01/2004-07/2025","12-10-2021 18:00","29","44"
"עבדת 10/2008-07/2025","12-10-2021 18:00","29.6","36"
"אשלים 02/2016-07/2025","12-10-2021 21:00","23.7","78"
"שדה בוקר 01/2004-07/2025","12-10-2021 21:00","23.8","70"
"עבדת 10/2008-07/2025","12-10-2021 21:00","23.9","66"
"אשלים 02/2016-07/2025","13-10-2021 00:00","22.8","83"
"שדה בוקר 01/2004-07/2025","13-10-2021 00:00","21.5","87"
"עבדת 10/2008-07/2025","13-10-2021 00:00","21.1","86"
"אשלים 02/2016-07/2025","13-10-2021 03:00","22.1","88"
"שדה בוקר 01/2004-07/2025","13-10-2021 03:00","21.1","91"
"עבדת 10/2008-07/2025","13-10-2021 03:00","20.5","88"
"אשלים 02/2016-07/2025","13-10-2021 06:00","20.3","91"
"שדה בוקר 01/2004-07/2025","13-10-2021 06:00","20.3","92"
"עבדת 10/2008-07/2025","13-10-2021 06:00","20","91"
"אשלים 02/2016-07/2025","13-10-2021 09:00","22.4","81"
"שדה בוקר 01/2004-07/2025","13-10-2021 09:00","21.2","86"
"עבדת 10/2008-07/2025","13-10-2021 09:00","21.1","76"
"אשלים 02/2016-07/2025","13-10-2021 12:00","28.2","41"
"שדה בוקר 01/2004-07/2025","13-10-2021 12:00","26.8","43"
"עבדת 10/2008-07/2025","13-10-2021 12:00","26.1","41"
"אשלים 02/2016-07/2025","13-10-2021 15:00","30.3","36"
"שדה בוקר 01/2004-07/2025","13-10-2021 15:00","29.2","32"
"עבדת 10/2008-07/2025","13-10-2021 15:00","28.4","32"
"אשלים 02/2016-07/2025","13-10-2021 18:00","26.8","42"
"שדה בוקר 01/2004-07/2025","13-10-2021 18:00","25.8","46"
"עבדת 10/2008-07/2025","13-10-2021 18:00","25","45"
"אשלים 02/2016-07/2025","13-10-2021 21:00","22.9","66"
"שדה בוקר 01/2004-07/2025","13-10-2021 21:00","22.5","61"
"עבדת 10/2008-07/2025","13-10-2021 21:00","21.6","63"
"אשלים 02/2016-07/2025","14-10-2021 00:00","19.9","80"
"שדה בוקר 01/2004-07/2025","14-10-2021 00:00","20.3","77"
"עבדת 10/2008-07/2025","14-10-2021 00:00","20.1","67"
"אשלים 02/2016-07/2025","14-10-2021 03:00","19.1","83"
"שדה בוקר 01/2004-07/2025","14-10-2021 03:00","19.7","80"
"עבדת 10/2008-07/2025","14-10-2021 03:00","18.8","78"
"אשלים 02/2016-07/2025","14-10-2021 06:00","18.3","92"
"שדה בוקר 01/2004-07/2025","14-10-2021 06:00","18.9","86"
"עבדת 10/2008-07/2025","14-10-2021 06:00","18.2","79"
"אשלים 02/2016-07/2025","14-10-2021 09:00","21.9","75"
"שדה בוקר 01/2004-07/2025","14-10-2021 09:00","21.1","72"
"עבדת 10/2008-07/2025","14-10-2021 09:00","21.7","57"
"אשלים 02/2016-07/2025","14-10-2021 12:00","28.1","42"
"שדה בוקר 01/2004-07/2025","14-10-2021 12:00","26.4","42"
"עבדת 10/2008-07/2025","14-10-2021 12:00","25.8","41"
"אשלים 02/2016-07/2025","14-10-2021 15:00","30.3","41"
"שדה בוקר 01/2004-07/2025","14-10-2021 15:00","29.6","30"
"עבדת 10/2008-07/2025","14-10-2021 15:00","28.8","31"
"אשלים 02/2016-07/2025","14-10-2021 18:00","26.8","38"
"שדה בוקר 01/2004-07/2025","14-10-2021 18:00","25.7","45"
